X,Y,Label
-0.294272387,0.119439834,1
-0.769678022,0.614542286,0
-0.224528621,0.230621212,1
-0.232324112,0.929623391,0
-0.931001254,-0.283934128,0
0.318129446,-0.026958954,1
0.281475955,0.081263638,1
0.497722945,0.913266491,0
0.137017724,-0.263581108,1
0.004025797,0.260208936,1
1.104761732,0.038455782,0
0.25859038,0.063278123,1
-0.258299137,0.080151065,1
0.134497499,-0.313273971,1
0.267090748,-0.089228213,1
0.269206693,-0.168290643,1
0.185423898,1.00669953,0
-0.463015242,-0.868544461,0
0.120350053,0.248424144,1
0.918958108,0.424376112,0
0.762969,0.64540912,0
0.140120999,-0.29723372,1
0.274953673,0.101822189,1
-0.136011555,0.240595515,1
0.087919719,-0.331172386,1
0.078756427,0.339938786,1
-0.293032392,-0.036524512,1
0.247662985,0.031652928,1
0.217442802,0.259439962,1
0.416241327,-0.874297956,0
-0.27957663,0.034288316,1
-0.186099994,-0.244874067,1
0.240418435,-0.005840958,1
0.721319427,-0.734307623,0
-0.308827754,0.037984888,1
0.367010213,0.966144486,0
-0.998485254,0.059344298,0
-0.81450815,-0.669733729,0
-0.822368908,-0.609290398,0
-0.179645517,1.030563716,0
-0.24824022,-0.945984117,0
-0.14130312,0.252493796,1
-0.922728145,0.213597487,0
0.310162327,-0.066563876,1
0.942552027,0.405576736,0
-0.169531497,0.190540606,1
-0.080477311,0.311903794,1
-0.114800453,-0.307246395,1
-0.21435765,-0.283773025,1
-0.23771287,-0.175242898,1
-0.292997264,0.058833932,1
1.007414379,0.281318347,0
0.038363064,0.241675095,1
-0.274835947,0.15068292,1
-0.314772177,-0.103683302,1
0.882060158,-0.080252347,0
0.075339555,-0.334736819,1
-0.599064148,0.743782049,0
0.847391235,-0.556342509,0
0.790818356,0.685385726,0
-0.679859233,-0.713256446,0
-0.170030598,0.197934121,1
0.954091127,0.188611377,0
0.040391998,-0.350194131,1
-0.963278374,-0.266489829,0
0.34520327,0.03686205,1
-0.992381087,0.008942141,0
0.778677327,-0.655304273,0
0.83705586,-0.43766129,0
0.047309207,-0.983198692,0
0.775884058,0.594619433,0
-0.910690474,0.59337928,0
0.536279014,-0.842346337,0
0.208019732,-0.230837755,1
-0.887810634,-0.503486897,0
-0.339625642,0.968900319,0
-0.185254524,-0.958151695,0
-0.224576969,0.203377877,1
-0.20472684,0.894565446,0
-0.876695711,0.546651464,0
0.21315701,0.269269491,1
0.181350307,-0.266900153,1
-0.207328247,-0.092805058,1
0.218349161,-0.200402195,1
